razon_social,nombre_producto,numero_autorizacion,especies_autorizadas
"Campi Alimentos, S.A. de C.V.",Lechero Ultra 21% Mtp,A-0864-143,suplemento alimenticio para bovinos productores de leche
"Campi Alimentos, S.A. de C.V.",Lechero 21%,A-0864-144,suplemento alimencitio para bovinos productores de leche
"Campi Alimentos, S.A. de C.V.",Ovino Reproductor 14%,A-0864-145,suplemento alimenticio para ovinos
"Campi Alimentos, S.A. de C.V.",Lechero 18% Estiaje,A-0864-147,suplemento alimenticio para bovinos productores de leche
"Campi Alimentos, S.A. de C.V.",Campi Lac Plus,A-0864-153,sustituto de leche para becerros
"Campi Alimentos, S.A. de C.V.",Lactancia Cerdas,A-0864-159,por
"Campi Alimentos, S.A. de C.V.",Cerdo T,A-0864-160,alimento balanceado medicado con fenbendazol para cerdos de engorda
"Campi Alimentos, S.A. de C.V.",Cerdo Final Pr,A-0864-162,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Crecimiento Pr,A-0864-163,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Iniciador Pr,A-0864-164,por
"Campi Alimentos, S.A. de C.V.",Novillo 16%,A-0864-165,bov (engorda)
"Campi Alimentos, S.A. de C.V.",Brio Clasico 14%,A-0864-169,equino
"Campi Alimentos, S.A. de C.V.",Brio Plus 12%,A-0864-170,alimento balanceado para equinos
"Campi Alimentos, S.A. de C.V.",Pavo Preiniciador Nicholas,A-0864-178,ave eng
"Campi Alimentos, S.A. de C.V.",Cerdo Crecimiento Fortachon,A-0864-179,por (engorda)
"Campi Alimentos, S.A. de C.V.",Ovino Iniciador,A-0864-181,ovi
"Campi Alimentos, S.A. de C.V.",Brío Potrillo 17%,A-0864-182,equ
"Campi Alimentos, S.A. de C.V.",Dyno,A-0864-183,can
"Campi Alimentos, S.A. de C.V.",Brio Clasico 12%,A-0864-185,sin dato
"Campi Alimentos, S.A. de C.V.",Brio Plus 14%,A-0864-187,sin dato
"Campi Alimentos, S.A. de C.V.",Brio Plus 10%,A-0864-188,sin dato
"Campi Alimentos, S.A. de C.V.",Conejo Engorda,A-0864-189,lep
"Campi Alimentos, S.A. de C.V.",Pollo Engorda Pop,A-0864-193,ave eng
"Campi Alimentos, S.A. de C.V.",Pollo Iniciador Plus,A-0864-194,ave eng
"Campi Alimentos, S.A. de C.V.",Pollo Crecimiento Plus,A-0864-195,ave eng
"Campi Alimentos, S.A. de C.V.",Pollo Finalizador Plus,A-0864-196,ave eng
"Campi Alimentos, S.A. de C.V.",Campi Venado 1,A-0864-197,venados
"Campi Alimentos, S.A. de C.V.",Pollo Iniciador,A-0864-198,ave eng
"Campi Alimentos, S.A. de C.V.",Pollo Finalizador,A-0864-199,ave eng
"Campi Alimentos, S.A. de C.V.",Cerdo Desarrollo C/Ractopamina,A-0864-200,por
"Campi Alimentos, S.A. de C.V.",Cerdo Finalizador Ae,A-0864-201,por
"Campi Alimentos, S.A. de C.V.",Lechero Productor 18%,A-0864-202,bov (productoras de leche)
"Campi Alimentos, S.A. de C.V.",Bovino Crecimiento,A-0864-203,bov car
"Campi Alimentos, S.A. de C.V.",Becerro Iniciacion,A-0864-204,bov car
"Campi Alimentos, S.A. de C.V.",Lechero Premium,A-0864-205,bov lec
"Campi Alimentos, S.A. de C.V.",Lechero 18% Plus Chipilo,A-0864-206,bov lec
"Campi Alimentos, S.A. de C.V.",Pavo Crecimiento 2 Ac,A-0864-207,pavo eng
"Campi Alimentos, S.A. de C.V.",Pavo Crecimiento 3 Ac,A-0864-208,pavo eng
"Campi Alimentos, S.A. de C.V.",Galardon,A-0864-209,equ
"Campi Alimentos, S.A. de C.V.",Pollo Crecimiento Optimo,A-0864-210,ave eng
"Campi Alimentos, S.A. de C.V.",Pollo Final Omnipro,A-0864-211,ave eng
"Campi Alimentos, S.A. de C.V.",Bovino Corral Supremo,A-0864-213,bov eng
"Campi Alimentos, S.A. de C.V.",Bovino Desarrollo 15%,A-0864-214,"bov lec, bov eng"
"Campi Alimentos, S.A. de C.V.",Borrego Reproductor 15%,A-0864-215,ovi
"Campi Alimentos, S.A. de C.V.",Lechero Produccion Istmo,A-0864-216,bov lec
"Campi Alimentos, S.A. de C.V.",Lechero 16% Mq,A-0864-217,bov lec
"Campi Alimentos, S.A. de C.V.",Pavo Iniciador Estandar,A-0864-218,pavos de engorda
"Campi Alimentos, S.A. de C.V.",Codorniz 20%,A-0864-220,codorniz
"Campi Alimentos, S.A. de C.V.",Conejo Engorda 16%,A-0864-221,lep
"Campi Alimentos, S.A. de C.V.",Avestruz Creci-Desarrollo,A-0864-222,avestruz
"Campi Alimentos, S.A. de C.V.",Avestruz Final,A-0864-223,avestruz
"Campi Alimentos, S.A. de C.V.",Doncan Fortachon Power,A-0864-230,can
"Campi Alimentos, S.A. de C.V.",Avicorral,A-0864-233,ave eng
"Campi Alimentos, S.A. de C.V.",Gallina Postura 16% Std,A-0864-234,ave pos
"Campi Alimentos, S.A. de C.V.",Pollo Final Sin Pigmento,A-0864-235,ave eng
"Campi Alimentos, S.A. de C.V.",Borrego Engorda 13% F,A-0864-236,ovi
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda,A-0864-237,por
"Campi Alimentos, S.A. de C.V.",Kattos Fortachon Power,A-0864-238,fel
"Campi Alimentos, S.A. de C.V.",Pavo Crecimiento 5 Nicholas Premium,A-0864-247,pavos
"Campi Alimentos, S.A. de C.V.",Bovino Premium Ad,A-0864-248,bov eng
"Campi Alimentos, S.A. de C.V.",Bovino Exposicion Ad,A-0864-250,bov eng
"Campi Alimentos, S.A. de C.V.",Cerdo Inicio Supremo,A-0864-251,por
"Campi Alimentos, S.A. de C.V.",Cerdo Crecimiento Supremo,A-0864-252,por
"Campi Alimentos, S.A. de C.V.",Cerdo Crecimiento Estándar,A-0864-263,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Reproductor Estándar,A-0864-264,alimento balanceado para cerdas gestantes y sementales
"Campi Alimentos, S.A. de C.V.",Cerdo en Desarrollo Standar,A-0864-265,por
"Campi Alimentos, S.A. de C.V.",Cerdo Lactante Ae,A-0864-266,alimento balanceado para cerdas lactantes
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Comercial,A-0864-267,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Iniciador Plus,A-0864-269,alimento balanceado para cerdos de engorda
"Campi Alimentos, S.A. de C.V.",Lechero Productor 16% Mtp,A-0864-270,sin dato
"Campi Alimentos, S.A. de C.V.",Res Engorda 14%,A-0864-272,suplemento alimenticio balanceado para bovinos
"Campi Alimentos, S.A. de C.V.",Cerdo Gestacion Ac,A-0864-274,alimento balanceado para cerdas gestantes y sementales
"Campi Alimentos, S.A. de C.V.",Res Engorda 12%,A-0864-275,bov
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Concentrado 36%,A-0864-276,por
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Concentrado 32 %,A-0864-277,sin dato
"Campi Alimentos, S.A. de C.V.",Ovino Crecimiento Desarrollo,A-0864-278,por
"Campi Alimentos, S.A. de C.V.",Brio Clasico 10%,A-0864-279,equ
"Campi Alimentos, S.A. de C.V.",Res Engorda 14% Mq,A-0864-280,sin dato
"Campi Alimentos, S.A. de C.V.",Lechero 18% Mq,A-0864-281,bov
"Campi Alimentos, S.A. de C.V.",Ovimel,A-0864-282,"ov, cap"
"Campi Alimentos, S.A. de C.V.",Bovimel,A-0864-283,"suplemento alimenticio para bovinos de engorda, lecheros y doble proposito"
"Campi Alimentos, S.A. de C.V.",Campidog Fortachon Power,A-0864-284,can
"Campi Alimentos, S.A. de C.V.",Conejo Engorda 16.5%,A-0864-285,alimento balanceado para conejos de engorda
"Campi Alimentos, S.A. de C.V.",Pollo Iniciador Omni,A-0864-286,pollo de engorda
"Campi Alimentos, S.A. de C.V.",Cerdo Preiniciador Master Pig I,A-0864-288,alimento balanceado medicado para lechones
"Campi Alimentos, S.A. de C.V.",Cerdo Preiniciador Master Pig Ii,A-0864-289,alimento balanceado medicado para cerdos de engorda
"Campi Alimentos, S.A. de C.V.",Cerdo Preiniciador Master Pig Iii,A-0864-290,por
"Campi Alimentos, S.A. de C.V.",Cerdo Finalizador Super Plus C/Ractopamina,A-0864-291,por
"Campi Alimentos, S.A. de C.V.",Vaquilla Crecimiento 150-300,A-0864-293,bov. leche
"Campi Alimentos, S.A. de C.V.",Cerdo Reproductor Ae,A-0864-296,por
"Campi Alimentos, S.A. de C.V.",Campidog,A-0864-297,can
"Campi Alimentos, S.A. de C.V.",Doncan,A-0864-298,perros
"Campi Alimentos, S.A. de C.V.",Supreme Cat Master Cat,A-0864-306,fel
"Campi Alimentos, S.A. de C.V.",Pearl`S Prime Nutrition Beef Delight,A-0864-307,can
"Campi Alimentos, S.A. de C.V.",Pearl`S Prime Nutrition Chicken Delight,A-0864-308,can
"Campi Alimentos, S.A. de C.V.",Meat Jerky,A-0864-309,can
"Campi Alimentos, S.A. de C.V.",Bull Pizzles,A-0864-312,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Chicken Big,A-0864-318,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Chicken Bites,A-0864-319,can
"Campi Alimentos, S.A. de C.V.",Prime Nutrition Adulto,A-0864-328,can
"Campi Alimentos, S.A. de C.V.",Prime Nutrition Cachorro,A-0864-329,can
"Campi Alimentos, S.A. de C.V.",Prime Nutrition Razas Pequeñas,A-0864-330,can
"Campi Alimentos, S.A. de C.V.",Chicken Jerky,A-0864-331,premio para perros
"Campi Alimentos, S.A. de C.V.",Bocados de Pollo,A-0864-332,premio para perros
"Campi Alimentos, S.A. de C.V.",Prime Nutrition Gato,A-0864-334,fel
"Campi Alimentos, S.A. de C.V.",Can Prr Máximo Potencial Que Se Nota,A-0864-335,can
"Campi Alimentos, S.A. de C.V.",Can Pro Crecimiento Saludable Que Se Nota,A-0864-336,can
"Campi Alimentos, S.A. de C.V.",Can Pro Bienestar Que Se Nota,A-0864-337,can
"Campi Alimentos, S.A. de C.V.",Cat-Trina,A-0864-338,fel
"Campi Alimentos, S.A. de C.V.",Can Pro,A-0864-340,can
"Campi Alimentos, S.A. de C.V.",Economax Dog Food,A-0864-341,can
"Campi Alimentos, S.A. de C.V.",Fidus Pro Adulto Res,A-0864-349,can
"Campi Alimentos, S.A. de C.V.",Fidus Razas Pequeñas Pollo,A-0864-350,can
"Campi Alimentos, S.A. de C.V.",Fidus Pro Razas Pequeñas Res,A-0864-351,can
"Campi Alimentos, S.A. de C.V.",Fidus Pro Cachorro,A-0864-352,can
"Campi Alimentos, S.A. de C.V.",Nitriwow Cachorro,A-0864-354,alimento balanceado para caninos
"Campi Alimentos, S.A. de C.V.",Nutriwow Maintenance,A-0864-355,alimento balanceado para perros
"Campi Alimentos, S.A. de C.V.",Mini Huesos,A-0864-359,alimento balanceado para perros en etapa adulta (razas pequeñas)
"Campi Alimentos, S.A. de C.V.",Super Huesos,A-0864-360,alimento balanceado para perros adultos
"Campi Alimentos, S.A. de C.V.",Nutriwow Select,A-0864-364,can
"Campi Alimentos, S.A. de C.V.",Coqueto Trozos y Huesos,A-0864-365,can
"Campi Alimentos, S.A. de C.V.",Nutriwow Razas Pequeñas,A-0864-367,can
"Campi Alimentos, S.A. de C.V.",Nutriwow Maximo Potencial,A-0864-368,can
"Campi Alimentos, S.A. de C.V.",Coqueto Cachorro,A-0864-372,can
"Campi Alimentos, S.A. de C.V.",Coqueto Razas Pequeñas,A-0864-373,can
"Campi Alimentos, S.A. de C.V.",Canpro Biscuit Con Pollo Enrollado,A-0864-374,premio para perros
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Biscuit Horneado Con Pollo Preimo Para Perro,A-0864-390,premio para perros
"Campi Alimentos, S.A. de C.V.",Frutanas Con Pollo,A-0864-392,premio para perros
"Campi Alimentos, S.A. de C.V.",Casco Relleno de Res,A-0864-399,premio para perros
"Campi Alimentos, S.A. de C.V.",Hill Country Fare Razas Pequeñas,A-0864-409,alimento para perro
"Campi Alimentos, S.A. de C.V.",Energy Dog,A-0864-413,alimento para perros adultos
"Campi Alimentos, S.A. de C.V.",Fidus Pro Razas Pequeñas,A-0864-414,can
"Campi Alimentos, S.A. de C.V.",Can Pro Snack,A-0864-415,can
"Campi Alimentos, S.A. de C.V.",Beefhide 5 Twist With Chicken,A-0864-418,can
"Campi Alimentos, S.A. de C.V.",Fidus Pro Cachorro,A-0864-423,can
"Campi Alimentos, S.A. de C.V.",Campi Natural´S,A-0864-425,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Razas Pequeñas Adulto,A-0864-431,can (adulto razas pequeñas)
"Campi Alimentos, S.A. de C.V.",Bonamark Fidus Pro Adulto,A-0864-435,can
"Campi Alimentos, S.A. de C.V.",Si Precio Fortachon,A-0864-436,can
"Campi Alimentos, S.A. de C.V.",Campi Can,A-0864-437,can
"Campi Alimentos, S.A. de C.V.",Campi Vital Pro,A-0864-438,can
"Campi Alimentos, S.A. de C.V.",Campi Doncan,A-0864-440,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition,A-0864-441,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition,A-0864-442,can
"Campi Alimentos, S.A. de C.V.",Dyno Power,A-0864-444,can
"Campi Alimentos, S.A. de C.V.",Freeze Dried Beef Liver,A-0864-446,"can, fel"
"Campi Alimentos, S.A. de C.V.",Campican Adulto,A-0864-447,can
"Campi Alimentos, S.A. de C.V.",Doncan Complete,A-0864-452,can
"Campi Alimentos, S.A. de C.V.",Nuggetz de Pollo,A-0864-455,can
"Campi Alimentos, S.A. de C.V.",Bonamark Fidus Pro Cachorro,A-0864-457,can
"Campi Alimentos, S.A. de C.V.",Bonamark Fidus Pro Razas Pequeñas,A-0864-458,can
"Campi Alimentos, S.A. de C.V.",Freeze Dried Shrimp,A-0864-460,"can, fel"
"Campi Alimentos, S.A. de C.V.",Pearl´S Prime Nutrition Super Premium Senior 7+,A-0864-461,can
"Campi Alimentos, S.A. de C.V.",Triple Flavor Twist,A-0864-466,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Freeze Dried Chicken For Dog,A-0864-476,can
"Campi Alimentos, S.A. de C.V.",Freeze Dried Beef Liver For Cat,A-0864-479,fel
"Campi Alimentos, S.A. de C.V.",Pechuga de Pollo Liofilizada,A-0864-480,can y fel
"Campi Alimentos, S.A. de C.V.",Freeze Dried Beef Liver For Dog,A-0864-481,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Freeze Dried Beef Liver For Cat,A-0864-484,fel
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Freeze Dried Beef Liver For Dog,A-0864-485,can
"Campi Alimentos, S.A. de C.V.",Freeze Dried Pork Liver,A-0864-486,can
"Campi Alimentos, S.A. de C.V.",Disney Chips,A-0864-491,can
"Campi Alimentos, S.A. de C.V.",Beef Jerky,A-0864-494,can
"Campi Alimentos, S.A. de C.V.",Corazón de Pollo Liofilizado,A-0864-497,"can, fel"
"Campi Alimentos, S.A. de C.V.",Pavo Crecimiento 4 Ac,A-0864-500,pavos de engorda
"Campi Alimentos, S.A. de C.V.",Nucleo Preiniciador Cerdos,A-0864-501,cerdos
"Campi Alimentos, S.A. de C.V.",Cerdo Desarrollo Ae,A-0864-502,cer
"Campi Alimentos, S.A. de C.V.",Cerdo Creci Pop,A-0864-503,cer
"Campi Alimentos, S.A. de C.V.",Cerdo Inicio Ae,A-0864-504,cer
"Campi Alimentos, S.A. de C.V.",Cerdo Preiniciador Fi,A-0864-505,por
"Campi Alimentos, S.A. de C.V.",Cerdo Preiniciador F2,A-0864-506,por
"Campi Alimentos, S.A. de C.V.",Cerdo Preiniciador F3,A-0864-507,por
"Campi Alimentos, S.A. de C.V.",Res Engorda Concentrado 40%,A-0864-508,bov. carne
"Campi Alimentos, S.A. de C.V.",Postura Desarrollo Ae,A-0864-509,aves de postura
"Campi Alimentos, S.A. de C.V.",Bovans White Starter,A-0864-511,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Grower,A-0864-512,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Grower Ii,A-0864-513,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Layer I,A-0864-514,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Layer Ii (39-51W),A-0864-515,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Layer,A-0864-516,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Layer Vi,A-0864-517,aves post.
"Campi Alimentos, S.A. de C.V.",Bovans White Layer Vi,A-0864-518,aves post.
"Campi Alimentos, S.A. de C.V.",Toro Reparo,A-0864-520,bov (toros jaripeo)
"Campi Alimentos, S.A. de C.V.",Pavo Finalizador Estandar,A-0864-521,pavos
"Campi Alimentos, S.A. de C.V.",Cerdo Lactacion Plus,A-0864-522,por
"Campi Alimentos, S.A. de C.V.",Cerdo Finalizador Plus,A-0864-523,por
"Campi Alimentos, S.A. de C.V.",Cerdo Crecimiento Plus,A-0864-524,por
"Campi Alimentos, S.A. de C.V.",Cerdo Inicio Ae Fortachon,A-0864-526,
"Campi Alimentos, S.A. de C.V.",Cerdo Crecimiento Ae Fortachon,A-0864-527,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Reproductor Ae Fortachon,A-0864-528,por (gestantes)
"Campi Alimentos, S.A. de C.V.",Cerdo Lactancia Ae Fortachon,A-0864-529,
"Campi Alimentos, S.A. de C.V.",Cerdo Desarrollo Fortachon,A-0864-530,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Reproductor Fortachon,A-0864-531,por (gestantes y sementales)
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Comercial,A-0864-532,por (engorda)
"Campi Alimentos, S.A. de C.V.",Cerdo Corralfortachon,A-0864-533,por (engorda)
"Campi Alimentos, S.A. de C.V.",Protimel,A-0864-535,bov
"Campi Alimentos, S.A. de C.V.",Basemix-F,A-0864-536,suplemento alimenticio para ganado bovino de engorda y ganado lechero
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Alta Magrez Plus,A-0864-543,por
"Campi Alimentos, S.A. de C.V.",Pavo Iniciador Mg,A-0864-548,pavo eng
"Campi Alimentos, S.A. de C.V.",Bovimel Fortachon,A-0864-551,bov dp
"Campi Alimentos, S.A. de C.V.",Cerdo Finalizador Fortachon,A-0864-554,por (engorda en finalización)
"Campi Alimentos, S.A. de C.V.",Cerdo Lactación Fortachón,A-0864-558,por (lactante)
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Concentrado 40% Fortachón,A-0864-559,por
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Alta Magrez Ac,A-0864-562,por
"Campi Alimentos, S.A. de C.V.",Cerdo Iniciador Ac,A-0864-564,sin dato
"Campi Alimentos, S.A. de C.V.",Cerdo Finalizador Ae,A-0864-565,por
"Campi Alimentos, S.A. de C.V.",Cerdo Engorda Comercial,A-0864-566,por eng
"Campi Alimentos, S.A. de C.V.",Pollo Preiniciador Omnipro,A-0864-568,10 dias
"Campi Alimentos, S.A. de C.V.",Campi Conejo,A-0864-572,sin dato
"Campi Alimentos, S.A. de C.V.",Campi Espuela Crecimiento,A-0864-574,sin dato
"Campi Alimentos, S.A. de C.V.",Campi Espuela,A-0864-577,sin dato
"Campi Alimentos, S.A. de C.V.",Freeze Dried Salmon For Dog,A-0864-600,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Freeze Dried Chicken Breast For Dog,A-0864-602,can
"Campi Alimentos, S.A. de C.V.",Choice Nutrition Freeze Dried Chicken Heart For Dog,A-0864-605,can
"Campi Alimentos, S.A. de C.V.",Superfoods Super Jerky Turkey And Blueberries,A-0864-610,can
"Campi Alimentos, S.A. de C.V.",Superfoods Super Jerky Turkey And Cranberries,A-0864-613,can
"Campi Alimentos, S.A. de C.V.",Pearl´S Pure Nutrition Adulto,A-0864-614,can
"Campi Alimentos, S.A. de C.V.",Pearl´S Pure Nutrition Cachorros Razas Pequeñas,A-0864-617,can
"Campi Alimentos, S.A. de C.V.",Campi Peek,A-0864-624,can
"Campi Alimentos, S.A. de C.V.",Greenbrier Kennel Club Gourmet Dog Food,A-0864-626,can
"Campi Alimentos, S.A. de C.V.",Pearls Pure Nutrition Adulto Razas Pequeñas,A-0864-665,can
"Campi Alimentos, S.A. de C.V.",Greenbrier Kennel Club Original Cat Food,A-0989-627,fel
"Campi Alimentos, S.A. de C.V.",Campi Espuela Mantenimiento,A-0864-573,sin dato
"Campi Alimentos, S.A. de C.V.",Campi Espuela Mx,A-0864-578,sin dato
"Campi Alimentos, S.A. de C.V.",Llena Pollo,A-0864-587,sin dato
"Campi Alimetos, S.A. de C.V.",Fidus Pro Adulto Pollo,A-0864-348,can
"Canis Food Nutrition, S. de R.L. de C.V.",Croquetas Dosky Adulto,A-0588-002,sin dato
"Canis Food Nutrition, S. de R.L. de C.V.",Croquetas Manchas Adulto,A-0588-003,can
"Canis Food Nutrition, S. de R.L. de C.V.",Rosky Adulto,A-0588-004,can
"Canis Food Nutrition, S. de R.L. de C.V.",Catsky,A-0588-005,fel
"Canis Food Nutrition, S. de R.L. de C.V.",Rosky Can Cachorro,A-0588-006,can
"Canis Food Nutrition, S. de R.L. de C.V.",Rosky Can Activo,A-0588-007,can
"Canis Food Nutrition, S. de R.L. de C.V.",Croquetas Dosky Razas Pequeños,A-0588-008,can
"Canis Food Nutrition, S. de R.L. de C.V.",Croquetas Pulgas,A-0588-009,can
"Canis Food Nutrition, S. de R.L. de C.V.",Croquetas Manchitas,A-0588-012,can
"Canis Food Nutrition, S. de R.L. de C.V.",Dosky Galletas Adulto,A-0588-014,sin dato
"Canis Food Nutrition, S. de R.L. de C.V.",Dosky Galletas Cachorro,A-0588-015,sin dato
"Canis Food Nutrition, S. de R.L. de C.V.",Bigotes,A-0588-018,sin dato
"Canis Food Nutrition, S. de R.L. de C.V.",Perry Star,A-0588-020,sin dato
"Canis Food Nutrition, S. de R.L. de C.V.",Big Bite Kibble,A-0588-026,can
"Canis Food Nutrition, S. de R.L. de C.V.",Super Croquetas Dogs Adulto,A-0588-027,can
"Canis Food Nutrition, S. de R.L. de C.V.",Gat 1,A-0588-028,fel
"Canis Food Nutrition, S. de R.L. de C.V.",King Dog,A-0588-041,can
"Carfer Importadores, S.A. de C.V.",Lysaamet,A-10089-001,bov
"Carfer Importadores, S.A. de C.V.",Agrisile,A-10089-002,"bov, ovi y cap"
"Carfer Importadores, S.A. de C.V.",Silagepro,A-10089-003,"bov, ovi y cap"
"Carfer Importadores, S.A. de C.V.",Silagepro B,A-10089-004,"bov, ovi y cap (productores de leche)"
"Carfer Importadores, S.A. de C.V.",X-Zelit,A-1089-005,bov
"Cargil de Mexico, S.A. de C.V.",Cargil Rm Nf 160,A-7173-135,bov. leche
"Cargil de Mexico, S.A. de C.V.",Reemplazos,A-7173-178,por
"Cargil de Mexico, S.A. de C.V.",Cargil Rm Nf 160,A-7173-206,bov. leche
"Cargill de Mexico, S.A. de C.V.",Pet Master,A-7173-125,sin dato
"Cargill de Mexico, S.A. de C.V.",Keycan,A-7173-133,can
"Cargill de Mexico, S.A. de C.V.",Cargill Rm-Nf 250,A-7173-139,bov lec
"Cargill de Mexico, S.A. de C.V.",Reemplazos Grower,A-7173-193,porc
"Cargill de Mexico, S.A. de C.V.",Pre Engorda,A-7173-195,por
"Cargill de Mexico, S.A. de C.V.",Engorda,A-7173-197,alimento balanceado para cerdos en etapa de engorda
"Cargill de Mexico, S.A. de C.V.",Final Lean 12.5,A-7173-199,por
"Cargill de Mexico, S.A. de C.V.",Pre Engorda,A-7173-203,por
"Cargill de Mexico, S.A. de C.V.",Base Mix Iniciador,A-7173-215,sin dato
"Cargill de México, S.A. de C.V.",Gati Mar y Tierra,A-7173-131,fel
"Cargill de México, S.A. de C.V.",Gati Pescado,A-7173-154,fel
"Cargill de México, S.A. de C.V.",Base Mix Iniciador,A-7173-155,por
"Cargill de México, S.A. de C.V.",Base Mix Crecimiento,A-7173-156,por
"Cargill de México, S.A. de C.V.",Base Mix Desarrollo,A-7173-157,por
"Cargill de México, S.A. de C.V.",Base Mix Reemplazos,A-7173-158,por (sementales)
"Cargill de México, S.A. de C.V.",Base Mix Final Lean,A-7173-160,por
"Cargill de México, S.A. de C.V.",Base Mix Gestantes,A-7173-161,por
"Cargill de México, S.A. de C.V.",Base Mix Lactantes,A-7173-162,por
"Cargill de México, S.A. de C.V.",Sementales Pf,A-7173-166,por (sementales)
"Cargill de México, S.A. de C.V.",Final Lean 10,A-7173-173,sin dato
"Cargill de México, S.A. de C.V.",Gestantes,A-7173-176,por (gestación)
"Cargill de México, S.A. de C.V.",Lactante,A-7173-180,porcinos (hembras en lactación)
"Cargill de México, S.A. de C.V.",Lactante,A-7173-201,porcinos (hembras en lactación)
"Cargill de México, S.A. de C.V.",Final Lean 10,A-7173-202,por
"Cargill de México, S.A. de C.V.",Base Mix Gestantes,A-7173-214,por
"Cargill de Mexico, S.A. de C.V.",Dogui Carne,A-7173-129,sin dato
"Cargill de Mexico, S.A. de C.V.",Cargil Rm-Nf 180,A-7173-136,sin dato
"Cargill de Mexico, S.A. de C.V.",Cargill Rm-Nf Fi,A-7173-141,bov (lecheras)
"Cargill de Mexico, S.A. de C.V.",Promote Trt 511,A-7173-143,no aplica
"Cargill de Mexico, S.A. de C.V.",Promote Trt 513,A-7173-144,no aplica
"Cargill de Mexico, S.A. de C.V.",Dogui Cachorros,A-7173-152,sin dato
"Cargill de Mexico, S.A. de C.V.",Dogui Pollo,A-7173-153,sin dato
Carlos Alberto Acevedo,Acrob Smart Can Deluxe,A-10428-001,can
Carolina Rivera Montoya,Alimento Crudo y Balanceado de Pollo Con Res Para Perros R.H.E.D,A-9371-001,can
"Casals Internacional, S.A. de C.V.",Synergy Adulto,A-0131-001,can
"Casals Internacional, S.A. de C.V.",Synergy Cachorro,A-0131-002,can
"Casal'S Internacional, S.A. de C.V.",Pet-Milk,A-0131-006,caninos
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic-Plus,A-0151-002,"bov (carne, leche, dobre propósito), por, ovi, cap, aves (engorda)"
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic-Z,A-0151-003,"bov (carne, leche, dobre propósito), por, ovi, cap, aves (engorda)"
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Cx-Mns,A-0151-004,bov (jóvenes)
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Yeast 25,A-0151-005,"bov (jóvenes),por"
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Reinforced,A-0151-006,no indica
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Ganadero,A-0151-012,"bov (altas productoras, bajas productoras, periodo seco, vaquillas, preiniciadores, desarrollo/crecimiento, engorda, vacas de carne de ciclo completo) por (gestación lactancia preiniciadores y cecimiento a finalización)"
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Mineral Xc 016,A-0151-014,"bov (carne, leche, dobre propósito), por, ovi, cap, equi"
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Mineral Xc 030,A-0151-015,"bov (carne, leche, dobre propósito), por, ovi, cap, equi"
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Mineral Xc 032,A-0151-029,"bov (leche, carne, y doble propósito) ovi, cap"
"Celtic Holland Division Mexico, S.A. de C.V.",Ener Gii,A-0151-033,bov (lecheros en primer termicio de lactancia)
"Celtic Holland Division Mexico, S.A. de C.V.",Strata G113,A-0151-034,bov (lecheros)
"Celtic Holland Division Mexico, S.A. de C.V.",Prequel,A-0151-035,bov (lecheros)
"Celtic Holland Division Mexico, S.A. de C.V.",Celtic Mox Exp,A-0151-036,"bov, oci, cap, por, equi, ave"
