nombre_producto,empresa,uso,num_certificado_o_registro,clasificacion,fecha_registro,fecha_vigencia
102265 Trucha C,"Trouw Nutrition México, S.A. de C.V.","Premezcla nutricional de vitaminas, minerales y aditivos para elaborar alimentos balanceados para trucha en todas sus etapas de vida",DGSA-DSAP-CSAUA-010-(3)/2023,aditivo,2023-06-07,2028-06-07
Px Vitamina Trucha Extruido,"Trouw Nutrition México, S.A. de C.V.",Premezcla nutriciional para elaborar alimento balanceado para trucha en todas sus etapas de vida,DGSA-DSAP-CSAUA-011-(3)/2023,aditivo,2023-06-07,2028-06-07
Eco-Aquaprotec.,"Eco-Technology Solution, S.A. de C.V.",Probioticos bio-estimulante de especies acuícolas,DGSA-DSAP-CSAUA-012-(3)/2023,aditivo,2023-06-07,2028-06-07
Eco-Aquablend,"Eco-Technology Solution, S.A. de C.V.",Bio-digestor de materia orgánica para acuacultura.,DGSA-DSAP-CSAUA-013-(4)/2023,sustancia quimica,2023-06-07,2028-06-07
Aquapremiere 42%,"Vimifos, S.A. de C.V.",Alimento para tilapia y bagre en etapa de iniciación.,A-035/2023-005,alimento,2023-06-23,2028-06-23
Natural Force Micro 35,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de engorda.,A-035/2020-012,alimento,2023-07-31,2028-07-31
Total Range 30,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de engorda.,A-035/2020-015,alimento,2023-07-31,2028-07-31
Bumper Crop Micro 35,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de iniciación.,A-041/2014-002,alimento,2023-07-31,2028-07-31
Natural Force Micro 30,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de engorda.,A-035/2020-005,alimento,2023-07-31,2028-07-31
Total Range Starter 38,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de iniciación.,A-035/2023-001,alimento,2023-07-31,2028-07-31
Green Line 35,"Vimifos, S.A. de C.V.",Alimento para camarones.,A-035/2020-017,alimento,2023-07-31,2028-07-31
Ag 175,"Jefo de Mexico, S.A. de C.V.",Producto de fermentación para uso en especies acuícolas,DGSA-DSAP-CSAUA-009-(3)/2013,aditivo,2023-09-18,2028-09-18
Aquaxcel Starter 5014,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para camarón para ser usado en la etapa poslarva y juvenil templano.,A-037/2013-001,alimento,2023-09-18,2028-09-18
Liqualife M-Pl,"Agribrands Purina México, S.De R.L. de C.V.",Alimento para postlarva de camarón,A-037/2013-007,alimento,2023-09-18,2028-09-18
Liqualife Pl,"Agribrands Purina México, S.De R.L. de C.V.",Alimento para postlarva de camarón,A-037/2013-005,alimento,2023-09-18,2028-09-18
Liqualife Zm,"Agribrands Purina México, S.De R.L. de C.V.",Alimento para larva y post larva de camarón,A-037/2013-006,alimento,2023-09-18,2028-09-18
Tm-700,"P.B. Animal Health de Mexico, S. de R.L. de C.V.",Antibiotico bacteriostático de amplio espectro del grupo de las tetraciclinas con una amplia gama de actividad antibacteriana. Actúa contra bacterias Gran positivas y Gram negativas.,DGSA-DSAP-CSAUA-018-(1)/2017,antibiotico,2023-10-05,2028-10-05
Paq-Tivate,"P.B. Animal Health de Mexico, S. de R.L. de C.V.",Acidificante para uso en el alimento de camarón y taliapi. La mezcla de ácidos orgánicos y sus sales es efectiva y permite una marcada reducción en la capacidad amortiguadora en el alimento y ayuda a activar las enzimas digestivas. La composición a base de ácidos estabiliza el pH en el tracto gastrointestinal.,DGSA-DSAP-CSAUA-003-(3)/2018,aditivo,2023-11-01,2028-11-01
Aquaflor,"Intervet Mexico, S.A. de C.V.",Antibiótico de amplio espectro para incorporar al alimento para el tratamiento de enfermedades causadas por bacterias sensibles al florfenicol.,DGSA-DSAP-CSAUA-022-(1)/2017,antibiotico,2023-11-01,2028-11-01
Paq-Fusion,"P.B. Animal Health de Mexico, S. de R.L. de C.V.",sin dato,DGSA-DSAP-CSAUA-011-(3)/2022,aditivo,2023-11-10,2028-11-10
Aquaxcel Advance 35%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para camarón,A-063/2023-001,alimento,2023-11-27,2028-11-27
Microtek Crustceos Buen Desempeño Bd (45-11),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",Alimento para camarones (Penaeus vannamei) de laboratorio y producción en fase de post larva ( desde <0.01 g por animal hasta 1.5 g de peso vivo),A-121/2018-008,alimento,2023-11-27,2028-11-27
Steel-Head (45-16) Extruido Flotante.,"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",Alimento para Trucha (Oncorhunchus mykiss) en fase de engorda.,A-121/2018-007,alimento,2023-11-27,2028-11-27
Engorda Extruido 2.1 Mm Alto Desempeño Ad (35-7) Chp,"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",Alimento para camarones (Penaeus vannamei) en etapa de engorda,A-121/2018-006,alimento,2023-11-27,2028-11-27
Engorda Extruido 2.1 Mm Buen Desempeño Bd (28-8) Shp,"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",Alimento para camarones (Penaeus vannamei) en etapa de engorda a partir de 1.5 g de peso vivo.,A-121/2018-005,alimento,2023-11-27,2028-11-27
Engorda Extruido Alto Desempeño Ad (32-5),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",Alimento para tilapia en etapa de engorda,A-121/2018-004,alimento,2023-11-27,2028-11-27
Microtek Crustáceos Rápido Crecimiento Rc (40-10),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",Alimento para camarones (Penaeus vannamei) en etapa de post larva ( desde 0.05 g por animal hasta 1.5 g de peso vivo),A-121/2018-003,alimento,2023-11-27,2028-11-27
Microtek Peces (50-16),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.","Alimento para Tilapia (Oreochromis niloticus, O. aureus), Trucha (Oncorhunchus mykiss), bagre (Ictalurus punctatus) y carpa (Cyprinus carpio) en fase de crecimiento.",A-121/2018-002,alimento,2023-11-27,2028-11-27
Aquaxcel Starter 40% Smartchield,"Agribrands Purina México, S.De R.L. de C.V.",Alimento para camarón en etapa de iniciación,A-063/2023-002,alimento,2023-11-27,2028-11-27
Minipelet Peces (45-16),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.","Alimento para Tilapia (Oreochromis niloticus, O. aureus), Trucha (Oncorhunchus mykiss), bagre (Ictalurus punctatus) y carpa (Cyprinus carpio) en fase de crecimiento.",A-121/2018-001,alimento,2023-11-27,2028-11-27
Purina Aquafeed 35%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para camaron en etapa de juvenil y/o crecimiento,A-035/2023-002,alimento,2023-11-27,2028-11-27
Camaronina 35%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para camaron en etapa de juvenil y/o crecimiento,A-035/2023-001,alimento,2023-11-27,2028-11-27
Engorda 32%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para tilapia y bagre,A-063/2023-004,alimento,2023-11-28,2028-11-28
Desarrollo 3.5 Mm 35%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para tilapia y bagre,A-063/2023-003,alimento,2023-11-28,2028-11-28
Sff Microzyme Premix Pellets,"Vimifos, S.A. de C.V.",Premezcla de probióticos para alimento balanceado para camarón,DGSA-DSAP-CSAUA-020-(3)/2023,aditivo,2023-12-07,2028-10-07
Lacto-Sacc Aqua,"Alltech de México, S.A. de C.V.",Aditivo probiótico para uso en los alimentos acuícolas.,DGSA-DSAP-CSAUA-017-(3)/2023,aditivo,2023-12-08,2028-12-08
Mycosorb Aqua,"Alltech de México, S.A. de C.V.",Aditivo alimenticio usado como adsorbente de micotoxinas en los alimentos para especies acuícolas.,DGSA-DSAP-CSAUA-018-(3)/2023,aditivo,2023-12-08,2028-12-08
De-Odorase Aq,"Alltech de México, S.A. de C.V.",Aditivo probiótico para ser usado en la elaboración de alimentos acuícolas.,DGSA-DSAP-CSAUA-019-(3)/2023,aditivo,2023-12-08,2028-12-08
Luctanox Premix Ef 61831Z,"Lucta Mexicana, S.A. de C.V.",Antioxidante. Aditivo para uso en alimentación acuícola,DGSA-DSAP-CSAUA-002-(3)/2018,aditivo,2023-12-08,2028-12-08
Fm Shrimp A370,"Trouw Nutrition México, S.A. de C.V.",Premezcla nutricional para elaborar alimento balanceado para camarón,DGSA-DSAP-CSAUA-014-(3)/2023,aditivo,2023-12-08,2028-12-08
Núcleo Sel Shrimp 1.0%,"Trouw Nutrition México, S.A. de C.V.","Premezcla nutricional para camarones (Penaeus spp), en sus diferentes etapas de vida.",DGSA-DSAP-CSAUA-016-(3)/2023,aditivo,2023-12-11,2028-12-11
Px Camarón Tnm A3,"Trouw Nutrition México, S.A. de C.V.","Premezcla nutricional de vitaminas, minerales y aditivos para elaborar alimento balanceado para camarón (Penaeus spp.) en todas las etapas de desarrollo.",DGSA-DSAP-CSAUA-015-(3)/2023.,aditivo,2023-12-13,2028-12-13
Trisox Ii Aqua,"Norel México, S.A. de C.V.","Aditivo – Aditivo adsorbente de micotoxinas para la fabricación de alimentos balanceados y mateias primas, que coadyuva a la prevención y tratamiento de micotoxinas, de uso específico en alimentación de especies acuáticas.",DGSA-DSAP-CSAUA-001-(3)/2024.,aditivo,2024-01-24,2029-01-24
Toxinor Z Aqua,"Norel México, S.A. de C.V.","Premezcla para la fabricación de alimentos balaceados y materias primas, que coadyuva a la prevención y tratamiento de micotoxicosis causada por la presencia de micotoxinas (Aflatoxina B1, Toxina T2, Fumonisina, Ocratoxina A, Zeralenona y Deoxinivalenol), de uso específico en alimentación de especies acuáticas.",DGSA-DSAP-CSAUA-002-(3)/2024.,aditivo,2024-01-24,2029-01-24
Salmonat M Aqua,"Norel México, S.A. de C.V.",Aditivo bactericida-fungicida destinado a la fabricación de alimentos balanceados y materias primas de uso específico en alimentación de especies acuáticas,DGSA-DSAP-CSAUA-003-(3)/2024.,aditivo,2024-01-24,2029-01-24
Gustor Aqua,"Norel México, S.A. de C.V.",promotor fisiologico de crecimiento de uso especifico en alimentacion de camaron (Penaeus spp.) en fase larvaria y de engorda y peces (Oreochromis spp.) en fase de crecimiento y engorda. Tilapia y camar¢n,DGSA-DSAP-CSAUA-009-(3)/2015,aditivo,2024-01-29,2029-01-29
Xtru-Dix 2 Plus Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina para camarón en etapa de engorda,AM-041/2024-001,alimento,2024-02-06,2029-02-06
Aquapremiere 3508 Ff,"Vimifos, S.A. de C.V.",Alimento medicado con florfenicol para tilapia y bagre en etapa de engorda,AM-035/2024-003,alimento,2024-02-08,2029-02-08
Bumper Crop Micro 35 Enro,"Vimifos, S.A. de C.V.",Alimento medicado con enrofloxacina para camarón en etapa de iniciación.,AM-041/2024-002,alimento,2024-02-12,2029-02-12
Stability,"Importadora, Distribuidora y Exportadora Para Acuicultura Sistemática, S.A. de C.V.",Acondicionador de agua para establecer el filtro biológico en acuarios de agua dulce y salada.,DGSA-DSAP-CSAUA-004-(4)/2024,sustancia quimica,2024-02-16,2029-02-16
Aquapremiere 4008,"Vimifos, S.A. de C.V.",Alimento para Tilapia y Bagre en etapa de iniciaci¢n,A-035/2014-003,alimento,2024-02-26,2029-02-26
Aquapremiere 3508,"Vimifos, S.A. de C.V.",Alimento para tilapia y bagre en etapa de engorda,A-035/2021-006,alimento,2024-04-09,2029-04-09
Aquapremiere 4310,"Vimifos, S.A. de C.V.",Alimento para tilapia y bagre en etapa de iniación,A-035/2021-005,alimento,2024-04-09,2029-04-09
Nf 35 Org,"Vimifos, S.A. de C.V.",Alimento para camarón,A-035/2023-004,alimento,2024-04-09,2029-04-09
Aquapremiere 4310 Ff,"Vimifos, S.A. de C.V.",Alimento medicado con florfenicol para tilapia y bagre en etapa de iniciación.,AM-035/2024-010,alimento medicado,2024-04-09,2029-04-09
Aquapremiere 4008 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina para tilapia en etapa de iniciación.,AM-035/2024-007,alimento medicado,2024-04-09,2029-04-09
Bumper Crop Migaja 40 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina para camarón en etapa de iniciación (juveniles y adulto),AM-041/2024-005,alimento medicado,2024-04-09,2029-04-09
Total Range Micro 35 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina para camarón en etapa de iniciación (juvenil y adulto).,AM-041/2024-009,alimento medicado,2024-04-09,2029-04-09
Bumper Crop Xt 35 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina para camarón del genero Litopenaeus vannameien etapa de iniciación.,AM-041/2024-004,alimento medicado,2024-04-09,2029-04-09
Aquapremiere 4510,"Vimifos, S.A. de C.V.",Alimento para Tilapia Oreochromis spp. Y Bagre Ictalurus sp. en etapa de iniciaci¢n,A-035/2014-004,alimento,2024-04-17,2029-04-17
Pecfloxin 30% Aqua,"Pecuarius Laboratorios, S.A. de C.V.",Quimioterapéutico cuya acción corresponde a los antibióticos de amplio espectro.,DGSA-DSAP-CSAUA-005-(1)/2024.,antibiotico,2024-05-09,2029-05-09
Aquapremiere 4008 Ff,"Vimifos, S.A. de C.V.",Alimento medicado con florfenicol para tilapia y bagre en etapa de iniciación.,AM-035/2024-011,alimento medicado,2024-05-20,2029-05-20
Aquapremiere 4310 Oxi,"Vimifos, S.A. de C.V.",Alimento medicado con oxitetraciclina pasra tilapia en etapa de iniciación,AM-035/2024-008,alimento medicado,2024-05-20,2029-05-20
Mat Feed,"Vimifos, S.A. de C.V.",Alimento para camarón en etapa de desarrollo.,A-041/2024-012,alimento,2024-05-20,2029-05-20
Apicamaron Dinamo 35*30,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para ser suministrado a los camarones,A-134/2024-024,alimento,2024-06-06,2029-06-06
Apicamaron 35% Formula Especial,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para ser suministrado en camarón,A-134/2024-025,alimento,2024-06-06,2029-06-06
Apicamaron Raceways 4,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarones en el perioso de pre-cría en raceway,A-134/2024-023,alimento,2024-06-06,2029-06-06
Apicamarón Raceways 0,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón en el período de pre-cría en raceways,A-134/2024-001,alimento,2024-06-17,2029-06-17
Apicamarón Raceway 1,"Malta Texo de México, S.A. de C.V.",alimento balanceado para camar¢n,A-134/2024-002,alimento,2024-06-17,2029-06-17
Apicamaron Intensivo 40%,"Malta Texo de México, S.A. de C.V.",Alimento para camarones en la fase de iniciación una vez cambiadas en los estanques de engorda aproximadamente hasta 2 g de peso.,A-134/2024-010,alimento,2024-06-17,2029-06-17
Apicamaron Intensivo 25%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarones,A-134/2024-007,alimento,2024-06-17,2029-06-17
Bacti-Nil Aqua,"Adisseo de Mexico, S.A. de C.V.",Mejora la calidad del alimento y mantiene sano el intestino de animales acuáticos por acción antibacterial.,DGSA-DSAP-CSAUA-002-(3)/2019,aditivo,2024-06-21,2029-06-21
Sanacore Gm,"Adisseo de Mexico, S.A. de C.V.",Promotor de crecimiento natural para tilapia y camarones peneidos a través de la modulación en la micro-flora intestinal.,DGSA-DSAP-CSAUA-001-(3)/2019,aditivo,2024-06-21,2029-06-21
Dresquin 66 Aq,"Dresen Química, S.A.P.I. de C.V.",Mezcla de antioxidantes sintéticos y vehículo mineral. Aditivo antioxidante que usado en la proporción adecuada se emplea para evitar la degradación de premezcla vitamínica y del alimento balanceado para camarón y tilapia.,DGSA-DSAP-CSAUA-006-(3)/2024.,aditivo,2024-06-26,2029-06-26
Apicamaron Extensivo 30%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-004,alimento,2024-06-27,2029-06-27
Growfish Tilapia 4 Finalizacion 25%,"Malta Texo de México, S.A. de C.V.","Alimento completo para pecces, mojarra tilapia",A-134/2024-037,alimento,2024-06-27,2029-06-27
Growfish Tilapia 1 Alevin 40%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para tilapias en etapa de alevin hasta 50 g de peso.,A-134/2024-038,alimento,2024-06-27,2029-06-27
Apicamaron Extensivo 35%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarones,A-134/2024-005,alimento,2024-06-27,2029-06-27
Apicamaron Extensivo 25%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarones en fase de engorda,A-134/2024-003,alimento,2024-06-27,2029-06-27
Apicamaron Intensivo 35%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-009,alimento,2024-06-27,2029-06-27
Apicamaron Intensivo 30%,"Malta Texo de México, S.A. de C.V.",sin dato,A-134/2024-008,alimento,2024-06-27,2029-06-27
Axolotl Food,"Importadora Mexicana de Mascotas, S.A. de C.V.",Alimento balanceado para anfibios.,A-360/2024-001,alimento,2024-07-10,2029-07-10
Apicamaron Media Densidad 35%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-013,alimento,2024-07-25,2029-07-25
Mem,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-053,alimento,2024-07-25,2029-07-25
Apicamarón Extensivo 40%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-006,alimento,2024-07-25,2029-07-25
Apicamaron Media Densidad 30%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-012,alimento,2024-07-25,2029-07-25
Apicamaron Dinamo 25,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-021,alimento,2024-07-25,2029-07-25
Apicamaron Alta Densidad 40% de Proteina,"Malta Texo de México, S.A. de C.V.",Alimento para camarones en la fase de iniciación una vez cambiadas en los estanques de engorda aproximadamente hasta 2 g de peso.,A-134/2024-018,alimento,2024-07-25,2029-07-25
Apicamaron Alta Densidad 35%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarones en etpapa de engorda,A-134/2024-017,alimento,2024-07-25,2029-07-25
Palaco Dmpt,Alimentos y Aditivos (Bromuro de (2 - Carboxietil) Dimelsulfonio),Atrayente alimenticio y potenciador de la palatabilidad para incrementar el consumo de alimento.,DGSA-DSAP-CSAUA-007-(3)/2024,aditivo,2024-07-29,2029-07-29
Aquatec Velocity 35,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 5 gramos de peso hasta la cosecha,A-253/2020-004,alimento,2024-08-13,2029-08-13
Runeon Ii Ácidos Biliares.,"Acuaequipos de Obregón, S.A. de C.V.",Aditivo alimenticio con acción emulsificante y protector hepático.,DGSA-DSAP-CSAUA-008-(3)/2024.,aditivo,2024-08-13,2029-08-13
Aquaxcel Active 35%,"Agribrands Purina México, S.De R.L. de C.V.",Alimento balanceado para la alimentación de camarón (penaeus vannamei) para ser usado en la etapa juveniles y/o crecimiento.,A-037/2024-001,alimento,2024-08-13,2029-08-13
"Mazuri Aquatic Turtle Diet, 5M87 - Mazuri Aquatic Turtle Diet, Aquatic Turtle Diet. Mazuriaquatic Turtle","Pet Foods, S.A. de C.V.",Alimento seco para todas las etapas de la vida de las tortugas carnivoras y omnivoras,A-059/2016-001,alimento,2024-08-13,2029-08-13
5Z0Z - Mazuri Green Sea Turtle . 5Z0Z - Mazuri Carnivorous Sea Turtle Diet. Mazuri Carnivorous Sea Turtle Diet,"Pet Foods, S.A. de C.V.","Alimento para tortugas carnivoras y omnivoras marinas, mantenidas bajo cuidado humano, en cautiverio",A-059/2016-002,alimento,2024-08-13,2029-08-13
Apicamaron Dinamo 35*15,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-026,alimento,2024-08-23,2029-08-23
Fishkas Koi,"Petmmal, S.A. de C.V.",Alimento para peces Koi,A-359/2024-006,alimento,2024-08-27,2029-08-27
Apicamaron Media Densidad 25%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camaron de 20 g. de peso . hasta la cosecha,A-134/2024-011,alimento,2024-08-29,2029-08-29
Apicamaron Media Densidad 40% de Proteina,"Malta Texo de México, S.A. de C.V.",Alimento para camarones en la fase de iniciación una vez cambiadas en los estanques de engorda aproximadamente hasta 2 g de peso.,A-134/2024-014,alimento,2024-08-29,2029-08-29
Apicamaron Alta Densidad 30% de Proteina,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarones,A-134/2024-029,alimento,2024-08-29,2029-08-29
Apicamaron Dinamo 30,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para ser suministrado a los camarones de 20 g de peso en la fase de engorda hasta la cosecha,A-134/2024-022,alimento,2024-08-29,2029-08-29
Apicamaron Prime 35%,"Malta Texo de México, S.A. de C.V.",Alimento para camarones de 2 g de peso en la fase de engorda un vez cambiadas a los estanques de engorda aproximadamente hasta los 10 g de peso.,A-134/2024-031,alimento,2024-08-29,2029-08-29
Apicamaron Dorado 40 %,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón que se encuentra en etapa de post-larva hasta que alcana los 3 o 4 g de peso.,A-134/2024-020,alimento,2024-08-29,2029-08-29
Apicamaron Alta Densidad 25%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-015,alimento,2024-09-02,2029-09-02
Growfish Tilapia Regal Inicio 32%,"Malta Texo de México, S.A. de C.V.","Alimento balanceado, frmulado para cubrir los requerimientos de las tilapias durante la etapa de inicio de 50 a 70 gr. de peso",A-134/2024-035,alimento,2024-09-10,2029-09-10
Fishkas Ciclid Plus I,"Petmmal, S.A. de C.V.",Alimento para peces ciclidos,A-359/2024-004,alimento,2024-09-10,2029-09-10
Combacid Xl,"International Feed And Foods Technologies, S.A. de C.V.",Aditivo alimenticio auxiliar frente a las enfermedades que ocasionan agentes patogenos,DGSA-DSAP-CSAUA-005-(3)/2023,aditivo,2024-09-20,2029-09-20
Tortuguetas,"Petmmal, S.A. de C.V.",Alimento para tortugas,A-359/2024-002,alimento,2024-09-23,2029-09-23
Growfish 3205 Tmpaq,"Malta Texo de México, S.A. de C.V.","Alimento balanceado medicado con oxitetraciclina dihidrato, formulado para cubror los requerimientos de las tilapias durante la etapa de inicio de 50 a 70 gramos de peso",A-134/2024-057,alimento medicado,2024-09-23,2029-09-23
Growfish Bagre 1 Iniciacion,"Malta Texo de México, S.A. de C.V.","Alimento balanceado para bagres en el periodo posterior a la etapa de alevinaje hasta que alcancen la etapa juvenil, aproximadamente de los 5 gr de peso o de los 5 cm a los 15 cm de longitud. La cantidad por suministrar dependera de la temperatura del agua, oxigeno disuelto, productividad del estanque y su sanidad.",A-134/2024-033,alimento,2024-09-23,2029-09-23
Growfish Bagre 2 Iniciacion,"Malta Texo de México, S.A. de C.V.","ALIMENTO BALANCEADO FORMULADO PARA LA INICIACIÓN DE BAGRE DE 60 G. Y HASTA QUE ALCANCE LOS 350 G DE PERO (TAMAÑOS: 3/16"" Y 5/16"")",A-134/2024-034,alimento,2024-09-23,2029-09-23
Growfish Bagre 28% Engorda,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para bagres,A-134/2024-032,alimento,2024-09-23,2029-09-23
Apicamaron Alta Densidad 35% Mg,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camaron (Litopenaeus vannamei),A-134/2024-030,alimento,2024-09-23,2029-09-23
Aquatec Squilla Linea 100 Sp 800,"Nueva Tecnología en Alimentación, S.A. de C.V.",Alimento balanceado para camarón en fase post larva de 100 mg hasta 1 g de peso,A-253/2024-004,alimento,2024-09-23,2029-09-23
Growfish 3205 Tmpq,"Malta Texo de México, S.A. de C.V.","Alimento balanceado, medicado con oxitetraciclina para tilapia",A-134/2024-057,alimento medicado,2024-09-23,2029-09-23
Oxipet Polvo Aq,"Dresen Química, S.A.P.I. de C.V.",ADITIVO ANTIOXIDANTE PARA LA ELABORACIÓN DE ALIMENTOS PARA CAMARÓN Y TILAPIA,DGSA-DSAP-CSAUA-009-(3)/2024.,aditivo,2024-09-25,2029-09-25
Pmx Vitaminas Om 2023,"Trouw Nutrition México, S.A. de C.V.",Premezcla de vitaminas y aditivos para elaborar alimento balanceado para camarón (Penaeus spp.).,DGSA-DSAP-CSAUA-010-(3)/2024.,aditivo,2024-09-30,2029-09-30
Bactosafe S,"Malta Texo de México, S.A. de C.V.",Complejo bacteriano para fondos de estanqueras (acondicionador de fondo-suelo).,DGSA-DSAP-CSAUA-001-(3)/2020,aditivo,2020-03-23,2025-03-23
Bactosafe P,"Malta Texo de México, S.A. de C.V.","Acondicionador de agua, complejo bacteriano para desintoxicar estanques de cultivo de peces y camarones.",DGSA-DSAP-CSAUA-006-(3)/2021,aditivo,2024-09-30,2029-09-30
Bactosafe H,"Malta Texo de México, S.A. de C.V.",Complejo bacteriano (acondicionador de agua para larvicultura).,DGSA-DSAP-CSAUA-005-(3)/2021.,aditivo,2024-09-30,2029-09-30
Fishkas Golden Plus,"Petmmal, S.A. de C.V.",Alimento balanceado para goldfish,A-359/2024-003,alimento,2024-10-09,2029-10-09
Fishkas Ciclid Plus Ii,"Petmmal, S.A. de C.V.",Alimento balanceado para ciclidos juveniles y adultos de más de 10 cm de longitud,A-359/2024-005,alimento,2024-10-09,2029-10-09
Axolotinas,"Petmmal, S.A. de C.V.",Alimento balanceado para ajolotes,A-359/2024-001,alimento,2024-10-09,2029-10-09
Apicamaron Dinamo 35*45,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-027,alimento,2024-10-09,2029-10-09
Apicamarón Dorado 35%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-019,alimento,2024-10-09,2029-10-09
Royal Caviar,"Malta Texo de México, S.A. de C.V.",Alimento complementario para camarón,A-134/2024-054,alimento,2024-10-09,2029-10-09
Royal Seafood,"Malta Texo de México, S.A. de C.V.",Alimento complementario para camarón,A-134/2024-055,alimento,2024-10-09,2029-10-09
Growfish Season Reinforce,"Malta Texo de México, S.A. de C.V.",alimento balanceado para tilapia y bagre,A-134/2024-042,alimento,2024-10-09,2029-10-09
Growfish Trucha 2 Iniciación 45% de Proteína,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para peces,A-134/2024-046,alimento,2024-10-17,2029-10-17
Winfish Zeigler 3005,"Proveedora de Insumos Acuicolas, S.A de C.V.",alimento balanceado para tilapia,A-022/2019-001,alimento,2024-10-17,2029-10-17
Winfish Zeigler 3506,"Proveedora de Insumos Acuicolas, S.A de C.V.",alimento balanceado para tilapia,A-022/2019-002,alimento,2024-10-17,2029-10-17
Winfish Zeigler 4010,"Proveedora de Insumos Acuicolas, S.A de C.V.",alimento balanceado para tilapia y bagre,A-022/2019-003,alimento,2024-10-17,2029-10-17
Apicamaron Media Densidad 35% Mf,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2024-028,alimento,2024-10-17,2029-10-17
Apicamaron Alta Densidad 30 %,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camaron (Litopenaeus vannamei),A-134/2024-016,alimento,2024-10-17,2029-10-17
Growfish Season Hot,"Malta Texo de México, S.A. de C.V.",alimento balanceado para peces: tilapia,A-134/2024-041,alimento,2024-10-17,2029-10-17
Growfish Season Cold,"Malta Texo de México, S.A. de C.V.",alimento balanceado para TILAPIA,A-134/2024-040,alimento,2024-10-17,2029-10-17
Aquatec Squilla Linea 100 Sp 200,"Nueva Tecnología en Alimentación, S.A. de C.V.",Alimento balanceado para camarón,A-253/2024-001,alimento,2024-10-21,2029-10-21
Purina Starter 40%,"Agribrands Purina México, S. de R.L. de C.V.",Alimento balanceado para camaron en etapa de inicio,A-037/2024-002,alimento,2024-10-21,2029-10-21
"Desarrollo 2,4 Mm 40%","Agribrands Purina México, S. de R.L. de C.V.",Alimento para tilapia,A-063/2024-001,alimento,2024-10-21,2029-10-21
