razon_social,nombre_producto,numero_registro,especies_aprobadas_para_su_uso
"Distribuidora Maico de México, S.A. de C.V.",Enzootic Bovine Leukosis Virus (Blv) Gp51 Antibody Test Kit (Idexxleucosis Blocking) Kit Para la Deteccion de Anticuerpos Anti-Gp51 Frente Al Virus de la Leucosis Bovina Enzootica (Blv) (Idexx Leukosis Blocking),B-6617-031,bov
"Distribuidora Maico de México, S.A. de C.V.",Rinotraqueitis Infecciosa Bovina,B-6617-033,can
"Distribuidora Maico de México, S.A. de C.V.",Ornithobacterium Rhinotracheale,B-6617-034,"bov, cap, ovi, equ"
"Distribuidora Maico de México, S.A. de C.V.",Salmonelosis Porcina,B-6617-035,can
"Distribuidora Maico de México, S.A. de C.V.",Bovine Viral Diarrhoea Virus Bvdv Antigen Test Kit / Serum Plus,B-6617-036,bov
"Distribuidora Maico de México, S.A. de C.V.",Canine Parvovirus Antigen Test Kit (Snap Parvo) Kit Para la Detección de Antígeno de Parvovirus Canino),B-6617-037,can
"Distribuidora Maico de México, S.A. de C.V.",Salmonella Enteritidis Antibody Test Kit (Idexx Se Ab X2) (Kit Para la Detección de Anticuerpos Frente a Salmonella Enteritidis) (Idexx Se Ab X2),B-6617-038,ave
"Distribuidora Maico de México, S.A. de C.V.",Enzootic Bovine Leukosis Virus Antibody Test Kit (Idexx Leucosis Serum Screening) (Kit Para Detección de Anticuerpos Frente Al Virus de Leucosis Bovina (Blv)),B-6617-039,bov
"Distribuidora Maico de México, S.A. de C.V.",Kit de Deteccion Anticuerpos Contra Enfermedad de Gumgoro,B-6617-040,ave
"Distribuidora Maico de México, S.A. de C.V.",Chalmydia Antibody Test Kit (Idexx Chlamydiosis Total Ab) Kit Para la Detección de Anticuerpos Frente Idexx Chlamydia Antibody (Idexx Chlamydiosis Total Ab),B-6617-042,"bov, por"
"Distribuidora Maico de México, S.A. de C.V.",Mycoplasma Gallisepticum-Synoviae Antibody Test K,B-6617-026,ave
"Duncan Labs, S.A. de C.V.",Dunprebac Uberis,B-1108-004,bov
"Duncan Labs, S.A. de C.V.",Doxpelen,B-1108-005,can
"Duncan Labs, S.A. de C.V.",Pentalev Leptos,B-1108-008,bov
"Duncan Labs, S.A. de C.V.",Lencaden Serpens,B-1108-009,"can, fel"
"Duncan Labs, S.A. de C.V.",Ancorvet Derriengue,B-1108-010,"bov, equ, por, ovi, cap"
"Duncan Labs, S.A. de C.V.",Ancorvet Neumo,B-1108-011,ave
"Duncan Labs, S.A. de C.V.",Ancorvet Neumo + Hs,B-1108-012,can
"Eimeria, S.A. de C.V.",Autocox,B-7923-001,ave
"Eimeria, S.A. de C.V.",Autocox R,B-7923-002,ave
"Elanco Salud Animal, S.A. de C.V.",Lepto Shield 5,B-0715-012,bov
"Elanco Salud Animal, S.A. de C.V.",Vira Shield 6,B-0715-013,bov
"Elanco Salud Animal, S.A. de C.V.",Parvo Shield L5 + E,B-0715-028,por
"Elanco Salud Animal, S.A. de C.V.",Pinkeye Shield Xt4,B-0715-030,bov
"Elanco Salud Animal, S.A. de C.V.",Rhini Shield Tx4,B-0715-032,por
"Elanco Salud Animal, S.A. de C.V.",Scour Bos 9,B-0715-033,bov
"Elanco Salud Animal, S.A. de C.V.",Pneumostar Siv,B-0715-043,por
"Elanco Salud Animal, S.A. de C.V.",Porcine Pili Shield+C,B-0715-051,por
"Elanco Salud Animal, S.A. de C.V.",Vira Shield 6 + L5 Hb,B-0715-052,bov
"Elanco Salud Animal, S.A. de C.V.",Avipro 431 Nd-Ib-Bd3-Reo,B-0715-055,ave
"Elanco Salud Animal, S.A. de C.V.",Avi Pro 109 Se4 Conc,B-0715-057,ave
"Elanco Salud Animal, S.A. de C.V.",Avipro 101 Coryza Gold,B-0715-059,ave
"Elanco Salud Animal, S.A. de C.V.",Avi Pro 226 Bt02-Reo,B-0715-062,ave
"Elanco Salud Animal, S.A. de C.V.",Avipro Mg F,B-0715-064,"bov, ovi, cap"
"Elanco Salud Animal, S.A. de C.V.",Avipro Pox Ceo,B-0715-066,ave
"Elanco Salud Animal, S.A. de C.V.",Avipro 329 Nd-Ib2-Se4 Conc,B-0715-070,ave
"Elanco Salud Animal, S.A. de C.V.",Titanium 5,B-0715-071,bov
"Elanco Salud Animal, S.A. de C.V.",Titanium 5 L-5,B-0715-072,bov
"Elanco Salud Animal, S.A. de C.V.",Avipro Salmonella Duo,B-0715-073,ave
"Elanco Salud Animal, S.A. de C.V.",Avipro Megan Vac 1,B-0715-074,ave
"Elanco Salud Animal, S.A. de C.V.",Avipro Precise,B-0715-075,ave
"Elanco Salud Animal, S.A. de C.V.",Avipro 108 Fc3 Platinum,B-0715-076,ave
"Elanco Salud Animal, S.A. de C.V.",Bayovac Lepto 5,B-0715-077,por
"Elanco Salud Animal, S.A. de C.V.",Bayovac Thraxol 2,B-0715-078,bov
"Elanco Salud Animal, S.A. de C.V.",Bayovac Blacklegol 10,B-0715-079,bov
"Elanco Salud Animal, S.A. de C.V.",Bayovac Derriengue,B-0715-080,bov
"Elanco Salud Animal, S.A. de C.V.",Bayovac Neumogard Bovis+Hs,B-0715-083,can
"Elanco Salud Animal, S.A. de C.V.",Bayovac Brsv Vac 5,B-0715-084,ave
"Elanco Salud Animal, S.A. de C.V.",Bayovac Horizon 10,B-0715-085,por
"Elanco Salud Animal, S.A. de C.V.",Prevacent Prrs,B-0715-088,por
"Elanco Salud Animal, S.A. de C.V.",Coliprotec F4/F18,B-0715-089,por
"Empresas Carval de México, S. de R.L. de C.V.",Vibix F3,B-9028-002,fel
"Empresas Carval de México, S. de R.L. de C.V.",Vibix F3+R,B-9028-003,fel
"Empresas Carval de México, S. de R.L. de C.V.",Vibix C Puppy Advanced,B-9028-004,can
"Empresas Carval de México, S. de R.L. de C.V.",Vibix C4,B-9028-005,can
"Empresas Carval de México, S. de R.L. de C.V.",Vibix C5,B-9028-006,can
"Empresas Carval de México, S. de R.L. de C.V.",Vibix C6R,B-9028-007,can
"Escalona Animal And Human, S.A. de C.V.",Bacterina Contra la Pasteurelosis Ovicaprina,B-0033-002,ovi
"Escalona Animal And Human, S.A. de C.V.",Derriengue,B-0033-003,bov
"Escalona Animal And Human, S.A. de C.V.",Paleta,B-0033-004,"bov, ovi, cap"
"Escalona Animal And Human, S.A. de C.V.",Unica,B-0033-005,bov
"Escalona Animal And Human, S.A. de C.V.",Bacterina Triple,B-0033-006,"bov, ovi, cap"
"Escalona Animal And Human, S.A. de C.V.",Bacerina Ii Contra la Pasteurelosis Pneumónoca,B-0033-012,bov
"Escalona Animal And Human, S.A. de C.V.",Potencia 8,B-0033-014,"bov, ovi, cap"
"Excelling Bio, S.A. de C.V.",Avian Leukosis Virus Antibody Test Kit (Idex Alv Ab) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Leucosis Aviar (Idexx Alv Ab),B-11099-010,ave
"Excelling Bio, S.A. de C.V.",Infectious Bursal Disease Virus Antibody Test Kit (Idexx Ibd) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Enfermedad de Gumboro (Idexx Ibd),B-11099-001,ave
"Excelling Bio, S.A. de C.V.",Infectious Bronchitis Virus Antibody Test Kit (Idexx Ibv) Kit Para la Detección de Anticuerpos Frente Al Virus de la Bronquitis Infecciosa (Idexx Ibv),B-11099-002,ave
"Excelling Bio, S.A. de C.V.",Avian Reovirus Antibody Test Kit (Idexx Reo) / Kit Para la Detección de Anticuerpos Frente Al Reovirus Aviar (Idexx Reo),B-11099-003,ave
"Excelling Bio, S.A. de C.V.",Newcastle Disease Virus Antibody Test Kit (Idexx Indv) Kit Para la Detección de Anticuerpos Frente Al Virus de la Enfermedad de Newcastle (Idexx Ndv),B-11099-004,ave
"Excelling Bio, S.A. de C.V.",Mycoplasma Gallisepticum Antibody Test Kit (Idexx Mg) / Kit Para la Detección de Anticuerpos Frente Mycoplasma Gallisepticum (Idexx Mg),B-11099-005,ave
"Excelling Bio, S.A. de C.V.",Chicken Anemia Virus Antibody Test Kit (Idexx Cav) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Anemia Aviar (Idexx Cav),B-11099-006,ave
"Excelling Bio, S.A. de C.V.",Avian Pneumovirus Antibody Test Kit (Idexx Apv) / Kit Para la Detección de Anticuerpos Frente a Pneumovirus Aviar (Idexx Apv),B-11099-007,ave
"Excelling Bio, S.A. de C.V.",Mycoplasma Synoviae Antibody Test Kit (Idexx Ms) / Kit Para la Detección de Anticuerpos Frente a Mycoplasma Synoviae (Idexx Ms),B-11099-008,ave
"Excelling Bio, S.A. de C.V.",Avian Encephalomyelitis Virus Antibody Test Kit (Idexx Ae) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Encefalomielitis Aviar (Idexx Ae),B-11099-009,ave
"Excelling Bio, S.A. de C.V.",Reticuloendotheliosis Virus Antibody Test Kit (Idexx Rev) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Reticuloendotheliosis (Idexx Rev),B-11099-011,ave
"Excelling Bio, S.A. de C.V.","Avian Leukosis Virus Antibody Test Kit, Subgrup J (Idexx Alv-J Ab) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Leukosis Aviar, Subgrupo J (Idexx Alv-J Ab)",B-11099-012,ave
"Excelling Bio, S.A. de C.V.",Avian Leukosis Virus Antigen Test Kit (Idexx Alv Ag) / Kit Para la Detección de Antígeno del Virus de la Leucosis Aviar (Idexx Alv Ag),B-11099-014,ave
"Excelling Bio, S.A. de C.V.",Ornithobacterium Rhinotracheale Antibody Test Kit (Idexx Ort) Kit Para Detección de Anticuerpos Frente a Ornithobacterium Rhinotracheale (Idexx Ort),B-11099-015,ave
"Excelling Bio, S.A. de C.V.",Salmonella Enteritidis Antibody Test (Idexx Se Ab X2) / Kit Para la Detección de Anticuerpos Frente a Salmonella Enteritidis (Idexx Se Ab X2),B-11099-016,ave
"Excelling Bio, S.A. de C.V.",Infectious Bursal Disease Virus Antibody Test Kit (Idexx Ibd-Xr) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Enfermedad de Gumboro (Idexx Ibd-Xr),B-11099-017,ave
"Excelling Bio, S.A. de C.V.",Swine Influenza Virus Antibody Test Kit (Idexx Swine Influenza),B-11099-018,por
"Excelling Bio, S.A. de C.V.",Swine Salmonella Antibody Test Kit (Idexx Swine Salmonella) / Kit Para la Detección de Anticuerpos Frente a la Salmonelosis Porcina (Idexx Swine Salmonella),B-11099-021,por
"Excelling Bio, S.A. de C.V.",Mycoplasma Hyopneumoniae Antibody Test Kit (Idexx M. Hyo),B-11099-022,por
"Excelling Bio, S.A. de C.V.",Porcine Reproductive & Respiratory Syndrome Virus Antibody Test Kit (Idexx Prrs X3) / Kit Para la Detección de Anticuerpos Frente Al Virus del Sínddrome Reproductivo y Respiratorio Porcino (Idexx Prrs X3),B-11099-023,por
"Gapelli Ingredients, S.A. de C.V.",Bioeasy Kit Prueba Rápida de Anticuerpos Contra Brucella,B-10658-001,"bov, ovi"
"Gortie Pharma, S.A. de C.V.",Secaredol,B-1167-002,"bov, ovi, cap"
"Gortie Pharma, S.A. de C.V.",Septol,B-1167-003,"bov, ovi, cap"
"Gortie Pharma, S.A. de C.V.",Edecarbol,B-1167-006,"bov, ovi, cap"
"Gortie Pharma, S.A. de C.V.",Septagort,B-1167-009,"bov, ovi, cap"
"Gortie Pharma, S.A. de C.V.",Tetragort,B-1167-017,"bov, ovi"
"Gortie Pharma, S.A. de C.V.",Ledishep,B-1167-018,can
"Gortie Pharma, S.A. de C.V.",Parvo-Vac,B-1167-019,can
"Gortie Pharma, S.A. de C.V.",Rabi-Vac Ii,B-1167-037,"can, fel"
"Gortie Pharma, S.A. de C.V.",Ravibac-Pv,B-1167-041,"can, fel"
"Gortie Pharma, S.A. de C.V.",Ocho Vias,B-1167-088,"bov, ovi"
"Gortie Pharma, S.A. de C.V.",Newcastle,B-1167-097,ave
"Gortie Pharma, S.A. de C.V.",Puppy Vac 4,B-1167-100,can
"Gortie Pharma, S.A. de C.V.",Parvo Vac + Co,B-1167-104,can
"Gortie Pharma, S.A. de C.V.",Biogort Rabia Bovina,B-1167-105,"bov, equ, ovi, cap"
"Gortie Pharma, S.A. de C.V.",Biogort Parvo,B-1167-106,can
"Gortie Pharma, S.A. de C.V.",11 Vías Gorte,B-1167-103,bov
"Grupo Impotrade, S.A. de C.V.",Anigen Rapid Fiv Ab/Felv Ag Test Kit,B-9783-001,fel
"Grupo Impotrade, S.A. de C.V.",Anigen Rapid E. Canis Ab Test Kit,B-9783-002,can
"Grupo Impotrade, S.A. de C.V.",Anigen Rapid Caniv-3 Test Kit,B-9783-003,can
"Grupo Impotrade, S.A. de C.V.",Anigen Rapid Felichenk-3 Test Kit,B-9783-004,fel
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hiprabovis -4,B-0224-001,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hiprasuis Glasser,B-0224-004,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Toxipra-S7,B-0224-007,"bov, ovi, cap"
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hipragumboro Ch/80,B-0224-011,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Mypravac Suis,B-0224-016,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Neumosuin,B-0224-018,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Gripork,B-0224-019,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hipraviar-S,B-0224-020,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Eryserg Parvo,B-0224-021,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Coripravac Ah,B-0224-022,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hipraviar Trt,B-0224-024,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Starvac,B-0224-025,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Suiseng,B-0224-026,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Rhiniseng,B-0224-027,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Eryseng,B-0224-028,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hipraviar H120,B-0224-029,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Avisan Nd,B-0224-030,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hipraviar Clon,B-0224-031,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Suis Mhyo,B-0224-032,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Avi Ilt,B-0224-033,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Bovis Neospora,B-0224-034,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Suis Prrs A/S,B-0224-035,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Parvoseng,B-0224-036,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Eryseng Parvo,B-0224-037,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Eryseng Parvo/Lepto,B-0224-038,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Avi Ibd,B-0224-039,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Suis Se/Mr,B-0224-040,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Bovis Ibr,B-0224-041,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Avi Trt,B-0224-043,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Suis Influenza,B-0224-044,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Avi Ibv,B-0224-045,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Evalon,B-0224-048,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Vepured,B-0224-051,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Avisan Secure,B-0224-052,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Avi Ndv,B-0224-053,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Civtest Bovis Bvd/Bd P80,B-0224-054,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Ubac,B-0224-055,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hiprabovis Ibr Marker Live,B-0224-056,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Morak 5,B-0224-057,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Evant,B-0224-059,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Nasym,B-0224-060,bov
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Gumbohatch,B-0224-064,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Mhyosphere Pcv Id,B-0224-065,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Hipraviar Shs,B-0224-066,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Suiseng Diff/A,B-0224-067,por
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Chlavomex,B-0224-068,"ovi, cap"
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Evanovo,B-0224-069,ave
"Hipra México Laboratorio Veterinario, S.A. de C.V.",Suiseng Colic,B-0224-070,por
"Holland de México, S.A. de C.V.",Rabimune,B-4196-001,"can, fel"
"Holland de México, S.A. de C.V.",Parvomune,B-4196-002,can
"Holland de México, S.A. de C.V.",Canomune Dhl,B-4196-003,can
"Holland de México, S.A. de C.V.",Coronamune-P,B-4196-006,can
"Holland de México, S.A. de C.V.",Cnomune Puppy Dha2 Ppi,B-4196-010,can
"Holland de México, S.A. de C.V.",Canomune Puppy Do,B-4196-013,can
"Holland de México, S.A. de C.V.",Canomune Puppy Dha2P,B-4196-014,can
"Holland de México, S.A. de C.V.",Canomune L4,B-4196-015,can
"Holland de México, S.A. de C.V.",Canomune Dha2Ppi+L4,B-4196-016,can
"Hreon Animal Health, S. de R.L.",Coxy Off,B-9527-001,ave
"Hreon Animal Health, S. de R.L.",Coxy Off Plus,B-9527-002,ave
"Huvepharma de México, S.A. de C.V.",Advent,B-10194-001,ave
Insumos Nubiot S.A de C.V.,Livacox Q,B-0669-001,ave
"Inter Chem Bio, S.A. de C.V.",Intervac Rabia Canina,B-7497-012,"can, fel"
"Inter Chem Bio, S.A. de C.V.",Inmunobac 11 Vias,B-7497-027,"bov, ovi, cap"
"Inter Chem Bio, S.A. de C.V.",Vacuna Triple Aviar+ Co,B-7497-029,ave
"Inter Chem Bio, S.A. de C.V.",Newcastle Icb,B-7497-030,ave
"Inter Chem Bio, S.A. de C.V.",Viruela Aviar Icb,B-7497-031,ave
"Inter Chem Bio, S.A. de C.V.",Vacuna Rabia Bovina,B-7497-036,"bov, ovi, cap, equ"
"Inter Chem Bio, S.A. de C.V.",Bacterina Interchembio Fiebre Carbonosa,B-7497-038,"bov, equ, por, ovi, cap"
"Inter Chem Bio, S.A. de C.V.",Bacterina Interchembio Pasteurella,B-7497-039,"bov, ovi, cap, por, equ"
"Inter Chem Bio, S.A. de C.V.",Bacterina Interchembio Doble Bovina,B-7497-040,bov
"Inter Chem Bio, S.A. de C.V.",Bacterina Interchembio Triple Bovina,B7497-041,"bov, cap, ovi"
"Inter Chem Bio, S.A. de C.V.",Bacterina Interchembio 8 Vías,B-7497-043,"bov, ovi"
"Inter Chem Bio, S.A. de C.V.",Bacterina Binterchembio 11 Vias,B-7497-044,bov
"Inter Chem Bio, S.A. de C.V.",Intervac 3 Aviar,B-7497-045,ave
"Inter Chem Bio, S.A. de C.V.",Intervac Triple Canina,B-7497-016,can
"Intervet México, S.A. de C.V.",Nobilis Newcavac Inac,B-0273-012,ave
"Intervet México, S.A. de C.V.",Porcilis Prosystem 2*1,B-0273-014,por
"Intervet México, S.A. de C.V.",Nobilis Nd Clone 30,B-0273-032,ave
"Intervet México, S.A. de C.V.",Nobilis Eds 76 Inac,B-0273-033,ave
"Intervet México, S.A. de C.V.",Nobilis Ib + Nd Inac,B-0273-040,ave
"Intervet México, S.A. de C.V.",Porcilis Porcoli Df,B-0273-043,por
"Intervet México, S.A. de C.V.",Rismavac C,B-0273-045,ave
"Intervet México, S.A. de C.V.",Nobivac Rabia,B-0273-047,"can, fel, hur"
"Intervet México, S.A. de C.V.",Novibac Parvo C,B-0273-049,can
"Intervet México, S.A. de C.V.",Nobilis Ib + Nd + Eds Inac,B-0273-051,ave
"Intervet México, S.A. de C.V.",Nobivac Lepto,B-0273-054,can
"Intervet México, S.A. de C.V.",Nobivac Puppy Dp,B-0273-057,can
"Intervet México, S.A. de C.V.",Porcilis Parvo,B-0273-059,por
"Intervet México, S.A. de C.V.",Nobilis Ib Ma5,B-0273-060,ave
"Intervet México, S.A. de C.V.",Breedeervac Iv Plus,B-0273-061,ave
"Intervet México, S.A. de C.V.",Nobilis Coryza Inac,B-0273-065,ave
"Intervet México, S.A. de C.V.",Breedervac Reo Plus,B-0273-067,ave
"Intervet México, S.A. de C.V.",Novibac Dhppi,B-0273-070,can
"Intervet México, S.A. de C.V.",Nobilis Gumboro 228E,B-0273-073,ave
"Intervet México, S.A. de C.V.",Nobilis Paramyxo Inac,B-0273-074,ave
"Intervet México, S.A. de C.V.",Combovac 30,B-0273-076,ave
"Intervet México, S.A. de C.V.",Progard-Cpv,B-0273-078,can
"Intervet México, S.A. de C.V.",Nobilis Newcastle Broiler Inac,B-0273-084,ave
"Intervet México, S.A. de C.V.",Porcilis App,B-0273-086,por
"Intervet México, S.A. de C.V.",Nobilis Mg 6/85,B-0273-088,ave
"Intervet México, S.A. de C.V.",Porcilis Ery,B-0273-090,por
"Intervet México, S.A. de C.V.",Pp-Vac,B-0273-099,ave
"Intervet México, S.A. de C.V.",Nobilis Rismavac,B-0273-107,ave
"Intervet México, S.A. de C.V.",Bobact 8,B-0273-111,"bov, ovi, cap"
"Intervet México, S.A. de C.V.",Nobilis Rispens+Hvt (Ca 126),B-0273-112,ave
"Intervet México, S.A. de C.V.",Nobivac Kc,B-0273-119,can
"Intervet México, S.A. de C.V.",Nobilis Cav P4,B-0273-125,ave
"Intervet México, S.A. de C.V.",Nobivac Rl,B-0273-130,can
"Intervet México, S.A. de C.V.",Bacterina Mixta Porcina,B-0273-133,por
"Intervet México, S.A. de C.V.",Bacterina Triple C.E.S.,B-0273-134,"bov, ovi, cap"
"Intervet México, S.A. de C.V.",Multibacterina 7,B-0273-138,"bov, ovi, cap"
"Intervet México, S.A. de C.V.",Novibac Forcat,B-0273-139,fel
"Intervet México, S.A. de C.V.",Novibac Lc,B-0273-162,can
"Intervet México, S.A. de C.V.",Nobilis Newhatch,B-0273-163,ave
"Intervet México, S.A. de C.V.",Newhatch C2,B-0273-164,ave
"Intervet México, S.A. de C.V.",Nobilis Newhatch C2-Mc,B-0273-166,ave
"Intervet México, S.A. de C.V.",Nobilis Corvac-4,B-0273-167,ave
"Intervet México, S.A. de C.V.",Nobilis Reo 2177,B-0273-170,ave
"Intervet México, S.A. de C.V.",Bovilis Vision 8,B-0273-173,"bov, ovi"
"Intervet México, S.A. de C.V.",Bovilis Vision 8 Somnus,B-0273-174,bov
"Intervet México, S.A. de C.V.",Porcilis Myco Silencer Once,B-0273-175,por
"Intervet México, S.A. de C.V.",Porcilis Myco Silencer Meh,B-0273-176,por
"Intervet México, S.A. de C.V.",Bobilis Once Pmh Sq,B-0273-177,bov
"Intervet México, S.A. de C.V.",Tremvac-Fp-Cav,B-0273-180,ave
"Intervet México, S.A. de C.V.",Argus Sc/St,B-0273-186,por
"Intervet México, S.A. de C.V.",Ovilis Ovipast Irp,B-0273-188,ovi
"Intervet México, S.A. de C.V.",Nobilis Rt Inac,B-0273-191,ave
"Intervet México, S.A. de C.V.",Bovilis Vista Once Sq,B-0273-192,bov
"Intervet México, S.A. de C.V.",Bovilis Vista 5 L5 Sq,B-0273-193,bov
"Intervet México, S.A. de C.V.",Bovilis Vista 5 Sq,B-0273-194,bov
"Intervet México, S.A. de C.V.",Porcilis M Hyo,B-0273-195,por
"Intervet México, S.A. de C.V.",Ovilis Ovivac Irp,B-0273-196,ovi
"Intervet México, S.A. de C.V.",Circumvet Pcv,B-0273-198,por
"Intervet México, S.A. de C.V.",Fusion Nd-Sb,B-0273-199,ave
"Intervet México, S.A. de C.V.",Leptavoid H,B-0273-202,bov
"Intervet México, S.A. de C.V.",Rotavec Corona,B-0273-203,bov
"Intervet México, S.A. de C.V.",Lt-Ivax,B-0273-205,ave
"Intervet México, S.A. de C.V.",F-Vax Mg,B-0273-206,ave
"Intervet México, S.A. de C.V.",Enterovax,B-0273-207,ave
"Intervet México, S.A. de C.V.",Univax Bd,B-0273-208,ave
"Intervet México, S.A. de C.V.",Pm-Onevax-C,B-0273-210,ave
"Intervet México, S.A. de C.V.",Bursa-Vac 3,B-0273-211,ave
"Intervet México, S.A. de C.V.",Bursa-Vac,B-0273-213,ave
"Intervet México, S.A. de C.V.",M+Pac,B-0273-221,por
"Intervet México, S.A. de C.V.",Univax Plus,B-0273-222,ave
"Intervet México, S.A. de C.V.",Paracox,B-0273-232,ave
"Intervet México, S.A. de C.V.",Nobivac Canine 1 - Dappvl2,B-0273-246,can
"Intervet México, S.A. de C.V.",Fortegra,B-0273-249,ave
"Intervet México, S.A. de C.V.",Fusion Iltf,B-0273-250,ave
"Intervet México, S.A. de C.V.",Circumvent Pcv M,B-0273-251,por
"Intervet México, S.A. de C.V.",Porcilis Ar-T Df,B-0273-254,por
"Intervet México, S.A. de C.V.",Equilis Prequenza,B-0273-255,equ
"Intervet México, S.A. de C.V.",Equilis Prequenza Te,B-0273-256,equ
"Intervet México, S.A. de C.V.",Equilis Te,B-0273-257,equ
"Intervet México, S.A. de C.V.",Fusion Nd,B-0273-258,ave
"Intervet México, S.A. de C.V.",Porcilis Pcv,B-0273-259,por
"Intervet México, S.A. de C.V.",Bovilis D,B-0273-261,"bov, ovi, cap, equ"
"Intervet México, S.A. de C.V.",Nobilis Ib 4-91,B-0273-262,ave
"Intervet México, S.A. de C.V.",Porcilis Coliclos,B-0273-263,por
"Intervet México, S.A. de C.V.",Nobivac Intra-Trac 3,B-0273-264,can
"Intervet México, S.A. de C.V.",Nobivac Hcpch+Felv,B-0273-265,fel
"Intervet México, S.A. de C.V.",Porcilis M Hyo Id Once,B-0273-266,por
"Intervet México, S.A. de C.V.",Nobilis Ms Live,B-0273-269,ave
"Intervet México, S.A. de C.V.",Nobivac Feline 2-Felv,B-0273-270,fel
"Intervet México, S.A. de C.V.",Novibac L4,B-0273-272,can
"Intervet México, S.A. de C.V.",Nobivac Dhppi+L,B-0273-274,can
"Intervet México, S.A. de C.V.",Nobilis Salenvac T,B-0273-275,ave
"Intervet México, S.A. de C.V.",Porcilis Pcv M Hyo,B-0273-277,por
"Intervet México, S.A. de C.V.",Prime Pac Prrs,B-0273-278,por
"Intervet México, S.A. de C.V.",Porcilis Pcv Id,B-0273-279,por
"Intervet México, S.A. de C.V.",Porcilis Ery + Prvo + Lepto,B-0273-281,por
"Intervet México, S.A. de C.V.",Porcilis Ileitis,B-0273-282,por
"Intervet México, S.A. de C.V.",Porcilis Ery+Parvo,B-0273-283,por
"Intervet México, S.A. de C.V.",Vacuna Contra la Diarrea Epidémica Porcina,B-0273-284,por
"Intervet México, S.A. de C.V.",Quantum Da2Ppv + Cv,B-0273-286,can
"Intervet México, S.A. de C.V.",Quantum Da2Ppvl+Cv,B-0273-287,can
"Intervet México, S.A. de C.V.",Quantum Da2Ppvl,B-0273-288,can
"Intervet México, S.A. de C.V.",Quantum Pv,B-0273-289,can
"Intervet México, S.A. de C.V.",Bovilis Rb-51,B-0273-290,bov
"Intervet México, S.A. de C.V.",Nobivac Intra-Trac Oral Bb,B-0273-291,can
